235.436, 129.618, 8.336, 14.180 False
235.158, 129.608, 8.336, 14.213 False
234.881, 129.599, 8.335, 14.246 False
234.603, 129.589, 8.335, 14.279 False
234.325, 129.580, 8.335, 14.312 False
234.048, 129.571, 8.335, 14.345 False
233.770, 129.561, 8.335, 14.378 False
233.492, 129.552, 8.335, 14.411 False
233.215, 129.543, 8.335, 14.444 False
232.937, 129.534, 8.335, 14.477 False
232.659, 129.525, 8.335, 14.510 False
232.381, 129.516, 8.335, 14.543 False
232.104, 129.507, 8.335, 14.576 False
231.826, 129.499, 8.335, 14.609 False
231.548, 129.490, 8.335, 14.642 False
231.271, 129.481, 8.335, 14.675 False
230.993, 129.473, 8.335, 14.708 False
230.715, 129.465, 8.335, 14.741 False
230.438, 129.457, 8.335, 14.774 False
230.160, 129.449, 8.335, 14.807 False
229.882, 129.441, 8.335, 14.840 False
229.604, 129.433, 8.335, 14.873 False
229.327, 129.425, 8.335, 14.906 False
229.049, 129.418, 8.335, 14.939 False
228.771, 129.410, 8.335, 14.972 False
228.494, 129.403, 8.335, 15.005 False
228.216, 129.396, 8.334, 15.038 False
227.938, 129.389, 8.334, 15.071 False
227.660, 129.382, 8.334, 15.104 False
227.383, 129.375, 8.334, 15.137 False
227.105, 129.368, 8.334, 15.170 False
226.827, 129.361, 8.334, 15.203 False
226.549, 129.354, 8.334, 15.236 False
226.272, 129.347, 8.334, 15.269 False
225.994, 129.341, 8.334, 15.302 False
225.716, 129.334, 8.334, 15.335 False
225.439, 129.328, 8.334, 15.368 False
225.161, 129.322, 8.334, 15.401 False
224.883, 129.315, 8.334, 15.434 False
224.605, 129.309, 8.334, 15.467 False
224.328, 129.303, 8.334, 15.500 False
224.050, 129.298, 8.334, 15.533 False
223.772, 129.292, 8.334, 15.566 False
223.494, 129.287, 8.334, 15.599 False
223.217, 129.281, 8.334, 15.632 False
222.939, 129.276, 8.334, 15.665 False
222.661, 129.270, 8.334, 15.698 False
222.383, 129.265, 8.334, 15.731 False
222.106, 129.260, 8.334, 15.764 False
221.828, 129.255, 8.334, 15.797 False
221.550, 129.250, 8.334, 15.830 False
221.272, 129.245, 8.334, 15.863 False
220.995, 129.240, 8.334, 15.896 False
220.717, 129.235, 8.334, 15.929 False
